Dalc,Walc,absences,G3
1,1,6,6
1,1,4,6
2,3,10,10
1,1,2,15
1,2,4,10
1,2,10,15
1,1,0,11
1,1,6,6
1,1,0,19
1,1,0,15
1,2,0,9
1,1,4,12
1,3,2,14
1,2,2,11
1,1,0,16
1,2,4,14
1,2,6,14
1,1,4,10
2,4,16,5
1,3,4,10
1,1,0,15
1,1,0,15
1,3,2,16
2,4,0,12
1,1,2,8
1,3,14,8
1,2,2,11
2,4,4,15
1,1,4,11
5,5,16,11
3,4,0,12
1,1,0,17
1,1,0,16
1,1,0,12
1,1,0,15
1,1,0,6
1,1,2,18
1,1,7,15
1,1,2,11
1,1,8,13
1,2,25,11
2,4,8,12
1,1,2,18
1,1,0,11
2,2,14,9
1,1,8,6
1,4,12,11
1,1,4,20
2,2,2,14
1,1,2,7
2,3,2,13
1,1,2,13
3,4,6,10
2,3,0,11
4,4,6,13
1,1,8,10
1,1,0,15
1,1,4,15
1,1,2,9
1,1,2,16
2,3,6,11
5,5,6,11
1,1,4,9
2,4,2,9
2,4,0,10
1,2,2,15
5,5,4,12
1,2,4,6
1,3,2,8
2,3,12,16
1,1,0,15
1,1,0,10
2,4,2,5
2,2,2,14
2,4,54,11
2,3,6,10
1,1,8,10
1,3,0,11
1,1,2,10
1,2,12,5
1,3,2,12
1,2,4,11
1,1,10,6
1,3,4,15
2,3,2,10
2,3,6,8
1,2,4,6
1,3,4,14
1,1,12,10
3,5,18,7
1,3,0,8
1,3,4,18
2,3,4,6
1,1,0,10
1,1,6,14
1,1,2,10
1,1,2,15
1,1,2,10
1,2,6,14
1,1,0,8
5,5,14,5
1,1,0,17
1,1,4,14
1,1,26,6
1,1,0,18
1,1,10,11
1,1,8,8
1,1,2,18
3,5,6,13
1,1,4,16
1,1,6,19
1,1,0,10
1,1,6,13
1,1,10,19
1,1,8,9
1,2,2,16
1,1,2,14
1,1,0,13
1,4,20,8
1,2,6,13
1,2,2,15
1,2,6,15
1,2,2,13
1,4,18,13
1,1,0,8
3,2,0,12
1,1,0,11
1,1,2,9
1,2,0,0
2,5,8,18
2,2,0,0
1,2,0,0
1,3,12,12
1,4,16,11
1,1,0,0
1,1,0,0
2,4,0,0
1,1,0,0
1,3,0,12
1,1,0,15
1,1,0,0
2,2,8,9
1,1,2,11
3,3,2,13
1,2,0,0
1,2,0,11
1,1,0,0
1,1,2,11
2,1,0,0
2,5,0,10
2,5,0,0
3,5,6,14
2,3,8,10
1,1,0,0
1,1,0,12
1,1,2,8
3,3,8,13
1,5,6,10
1,2,2,15
4,4,4,12
2,2,0,0
1,4,6,7
2,4,0,0
1,4,2,10
1,5,0,7
1,1,16,12
2,4,4,10
1,1,0,16
1,1,0,0
1,1,0,14
2,4,0,0
1,1,2,16
1,3,0,10
1,1,0,0
1,1,4,9
4,4,4,9
1,4,2,11
1,4,4,6
3,4,10,9
1,1,4,11
2,3,10,8
1,2,2,12
2,3,0,17
2,3,56,8
1,2,14,12
2,3,12,11
1,2,2,11
1,2,0,15
1,3,6,9
1,5,4,10
1,1,10,13
1,1,0,9
4,5,12,8
3,4,8,10
1,1,0,14
1,1,0,15
1,2,4,16
3,5,8,10
2,3,24,18
1,2,0,10
1,5,2,16
1,3,6,10
1,3,4,10
1,2,18,6
1,1,6,11
3,4,28,9
2,2,5,7
1,1,10,13
1,4,6,10
1,1,6,7
1,2,10,8
4,5,13,13
1,1,0,14
2,4,15,8
1,2,12,10
1,3,2,15
2,4,22,4
2,4,13,8
1,4,3,8
1,1,4,10
1,2,2,6
1,1,0,0
1,1,2,17
5,5,0,13
1,1,0,14
1,1,16,7
1,3,10,15
1,3,2,12
4,5,14,9
1,2,10,12
1,2,14,14
1,1,4,11
1,3,14,9
2,4,2,13
1,1,18,6
1,3,10,10
5,5,4,13
1,1,20,12
1,1,2,11
3,5,0,0
1,4,14,12
2,3,2,12
1,1,0,0
1,2,0,12
1,1,0,0
1,1,6,18
1,1,4,13
5,5,16,8
1,3,8,5
2,4,0,15
2,4,0,8
1,3,6,10
2,5,4,8
1,3,0,8
2,4,0,12
1,2,2,8
1,1,6,13
1,1,12,11
1,2,8,14
1,1,0,0
1,3,21,18
1,1,2,8
1,1,1,12
1,1,4,9
1,1,0,0
3,4,13,17
3,4,2,10
2,2,8,11
1,3,10,10
1,2,0,0
3,3,15,9
1,3,4,14
1,1,2,11
2,2,2,14
1,1,2,10
2,3,6,12
1,1,75,9
1,4,22,9
1,1,15,8
1,2,8,10
2,4,30,8
3,4,19,10
1,1,1,12
1,1,4,10
1,2,4,11
1,2,2,11
1,2,5,19
1,1,6,12
1,3,6,14
1,1,9,15
1,4,11,11
1,2,0,15
1,1,12,13
1,1,6,18
1,1,8,14
1,3,4,11
2,3,0,0
1,2,10,8
1,1,0,14
2,2,5,16
1,1,14,11
2,2,0,10
1,1,0,14
1,2,0,18
1,1,20,13
1,1,8,12
1,1,0,18
1,1,38,8
1,2,0,12
1,3,18,10
2,2,0,0
1,1,20,13
2,2,3,11
1,2,22,11
1,1,14,13
1,1,40,11
1,2,0,0
1,1,9,9
2,5,0,10
3,3,2,11
1,2,23,13
1,1,12,9
2,2,3,11
2,3,1,15
2,3,0,15
2,2,3,11
3,5,3,16
5,5,8,10
1,3,7,9
1,2,4,14
2,4,2,8
1,1,7,14
1,1,0,0
1,1,0,0
1,1,0,0
1,3,16,15
1,2,12,13
2,3,0,0
1,1,7,17
2,3,4,10
1,3,4,11
2,2,0,0
1,3,11,15
1,2,0,0
1,2,4,10
2,3,7,14
1,2,9,16
2,3,0,9
1,3,0,15
5,5,10,13
3,3,8,8
2,3,2,13
2,3,7,8
3,3,4,8
1,3,4,11
1,1,0,9
1,2,4,13
1,2,2,11
1,2,4,10
1,1,0,16
1,4,0,13
2,3,2,12
1,3,0,10
1,1,0,15
1,2,0,12
2,4,4,10
2,2,0,13
1,2,0,0
1,2,0,10
4,2,10,11
1,1,4,9
2,3,3,12
1,1,8,11
1,3,14,5
1,1,0,19
1,2,2,10
1,1,4,15
3,4,4,10
1,2,0,15
2,3,17,10
1,4,4,14
1,3,5,7
1,1,2,10
1,3,0,0
4,3,14,5
1,3,2,10
2,2,7,6
1,2,0,0
1,1,0,8
1,1,0,0
4,5,11,9
3,4,3,16
3,3,3,7
3,4,0,10
3,3,5,9
